"Над китайскими светодиодами нависла угроза подорожания","Китайские производители светодиодов столкнулись с серьезными финансовыми проблемами из-за падения спроса на их продукцию в Европе и США.",9e64de6ed461643122161b9ad3facdce.txt,,220,"Новости мира",574aed74b825b8d6c8308b9ca40e9398.jpg,33,"2012-12-06 14:05:42","Купить светодиодные лампы|светодиодные лампы Харьков"
"Спрос на LED-светильники в Украине будет расти","В следующем году спрос на LED-светильники будет расти.",a34c5627eddd666e6ef9974ced7ba940.txt,,224,"Новости Украины;Новые технологии",2fc7257a999902ef55041e5ecace0b2f.jpg,34,"2012-12-07 10:31:54","Купить LED-светильники Харьков|светодиодные светильники Харьков|освещение АЗС|компания «Элотек»|ООО «Филипс Украина»"
"Светодиодное освещение: «за» и «против»","Аббревиатура светодиода происходит от английской фразы Light Emitting Diode, что означает «диод, который излучает свет». ",debd8c755b9d753203eb9546a7219440.txt,,699,Освещение;Энергосбережение,ffa2bb286008b2521626ab8a43ca5112.jpg,35,"2012-12-09 20:37:26","Светодиодная подсветка Харьков|купить светодиоды харьков|достоинства светодиодов"
"Владимир Семиноженко продвигает светодиодное освещение","Cовременные светодиодные изделия могут за год сэкономить объем электроэнергии, производимый целым блоком АЭС.",c1b96ea7b568c1e5aecb9f1e9ce07bbb.txt,,155,"Новые технологии;Новости Украины",b1a163c8ed5c347de8fc8b40f03a24cf.jpg,36,"2012-12-10 00:59:43","Светодиодное освещение|экономия электроэнергии|Владимир Семиноженко"
"В самом центре Харькова открыли солнечную электростанцию","11 декабря в 11.00 состоится запуск первой очереди солнечной электростанции, установленной на крыше Харьковского национального университета им. В. Н. Карази",09ed3c82527bdc5641b4f987798f8ea8.txt,,255,"Новости Украины;Альтернативная энергетика",77c9e860775e7ef507ad4b931c2b228c.jpg,37,"2012-12-11 01:41:11","солнечная электростанция Харьков|Харьковский национальный университет|альтернативная энергетика Харьков"
"9 килограммов света: гравитационный фонарь","Для работы фонаря GravityLight не нужно ни электросети, ни батарей, ни даже солнечного света. Достаточно гравитации.",3aad46d6b64911a66cf4d156db09efb7.txt,,420,"Новые технологии",9135b3de35ca187d6591b0cafb6f018c.jpg,38,"2012-12-12 00:21:31","фонарь GravityLight|автономные источники освещения|подзарядка аккумуляторов|гравитационный фонарь"
"Энергосберегающие лампы: «Без ГМО»","В последнее время получили быстрое развитие и хорошую перспективу светодиодные источники света (LED). ",9ddaf5b04f260751af88a963729e0051.txt,,847,Освещение;Энергосбережение,baef2f20ced54f36a242526aee14abdf.jpg,39,"2012-12-12 16:51:40","Энергосберегающие лампы|светодиодные источники света (LED)"
"Немцы планируют построить в Харьковской области солнечные и ветровые электростанции","В рамках проекта немецкая компания планирует установить в области от 8 до 22 промышленных ветряков мощностью каждый около 1,5 МВт.",5007e5ff54dae3db85c64343529eed76.txt,,226,"Альтернативная энергетика",180593fb35d4be31dad9383b62ef0285.jpg,40,"2012-12-13 00:31:56","Солнечные батареи|ветровые электростанции|альтернативная энергетика Харьков|WSB International|ХНУ им. Каразина"
"В Харькове пройдет «Энергофорум-2013»","19-22 февраля 2013 года в крупнейшем выставочном комплексе Харькова «Радмир Экспохолл» состоится специализированная выставка «Энергофорум-Харьков 2013». ",1319c0e51a932e46a2999e8bcdf11390.txt,,273,"Новости Украины",2d3f97cc7752372ec08cba3a27f21c00.jpg,41,"2012-12-14 12:20:44","Энергофорум Харьков|выставки Радмир Экспохолл"
"Светильники FIPEL – лампы будущего","В американском университете Wake Forest изобрели пластиковые колбы, которые во всех отношениях превосходят энергосберегающие лампы. ",6cbb5e67d6336fe2325494af3bdcf239.txt,,999,"Интересные идеи;Энергосбережение;Освещение",cc25b3f910ad83d62eba148a913d7551.jpg,42,"2012-12-14 20:01:23","светильники FIPEL|новые энергосберегающие технологии|технология индуцированных полем электролюминесцентных полимеров"
"Новогодние гирлянды в Харькове","В преддверие новогодних и рождественских праздников трудно представить себе не украшенный город – новогодние гирлянды в Харькове уже появились на улицах. ",220851073ac258233373b15ee18103a5.txt,,333,"Интересные идеи",c228a61032a5d55d70581b85e6d8fc54.jpeg,43,"2012-12-15 20:11:40","Новогодние гирлянды Харьков|наружные гирлянды Харьков"
"Новогодние лампочки: новые идеи елочных игрушек","Посмотрите сами: елочные игрушки из лампочек просто очаровательно смотрятся.",4c573556d8c964427df3979f933cb239.txt,,810,"Новые технологии",88c0d6fe622f6404c970f1072e0260fd.jpg,44,"2012-12-16 00:23:46","самые необычные елки|лучшие новогодние елки|новые идеи елочных игрушек"
"Как оригинально украсить дом к Новому году?","Среди всех видов новогоднего освещения светодиодные гирлянды стали наиболее популярными благодаря своей надежности и долговечности. ",5cc737ba244486cb19d8fdd13591e483.txt,,287,"Интересные идеи",d2557191df036372e4f0378b6310061f.jpeg,45,"2012-12-16 00:37:32","новогодние украшения харьков|светодиодные гирлянды харьков"
"В Москве организовали «Что? Где? Когда?» по поводу энергосбережения","На прошедшей неделе в одном из московских лицеев прошла первая образовательная игра для школьников по теме энергосбережения. ",aa04fc447f100316b2b3be912c2ac19e.txt,,230,"Новости мира",a62576a90b1b9c777a426bd56bad8e3a.jpg,46,"2012-12-17 10:20:56","Использование энергосберегающих технологий|управление энергоэффективностью"
"Новогодние световые гирлянды и безопасность","Чтобы избежать всяческих недоразумений, которые могут испортить Вам праздник, прислушайтесь к полезным советам по выбору новогодних световых гирлянд.",07c1a4c69d2d9c515870bb92974df59b.txt,,327,"Интересные идеи",83c5955335b56b83de457512b0b70b2a.jpg,47,"2012-12-17 21:30:00","новогодние световые гирлянды|электрогирлянды светодиодные"
"NASA установит на космических станциях LED-освещение ","Национальное аэрокосмическое управление США (NASA) разработало проект светотерапии бессонницы.",2a9de0ff09ec1988af3a55395f6d0dec.txt,,240,"Новые технологии",458eb46b253b98846d6b8db8f9c73a81.jpg,48,"2012-12-18 10:43:27","LED-освещение|новости NASA|светодиодные панели"
"В Швеции ударили по депрессии светотерапией","На севере Швеции придумали отличный способ борьбы с депрессией и плохим настроением. ",0d369661462d4bb8c0df9181a8a844f9.txt,,182,"Новые технологии",a4a0bc989403d31cbfdbca7d1dac8943.jpg,49,"2012-12-19 15:02:45","Лечение депрессии|светотерапия|улучшение настроения зимой"
"В Украине исчезают розничные магазины светильников","Развивающиеся сети строительных супермаркетов вытесняют традиционную розницу бытовых светильников. ",6237e00f6657a5902c2c72cccf57a3a2.txt,,204,"Новости Украины",849078ee454b80c0d94b0198fb361d3d.jpg,50,"2012-12-20 12:20:32","Купить светильники Харьков|интернет магазин светильников Украина|строительный супермаркет Харьков"
"Энергосберегающие лампы и светорегуляторы: как совместить","Энергосберегающие лампы в Харькове – это эффективный способ сократить расходы на электроэнергию.",47b5316376708bacb6ef533ae583ec93.txt,,917,"Освещение;Энергосбережение;Советы мастеров;Интересные идеи",b18b5da3e675b64ec6fc62bd4aab64c2.jpg,51,"2012-12-20 19:03:20","Энергосберегающие лампы Харьков|диммер купить"
"LightingEurope: ассоциация светотехнической промышленности","LightingEurope: создана новая ассоциация светотехнической промышленности",e1bc751b8870b68ad8547aaa069368a0.txt,,276,"Новые технологии",c556df40c5befec4819b461d4fd78e01.png,52,"2012-12-21 15:27:47","LightingEurope|ассоциация светотехнической промышленности|новости светотехники"
"С Днем энергетика!","Энергетики отмечают свой профессиональный праздник. ",e1f73e1a1e1cd885677560c0b026dbcf.txt,,362,"Новости Украины",dbed1d3429f79d255f87b6360543f93c.jpg,53,"2012-12-22 23:20:50","День Энергетика|Харьковоблэнерго|Сергей Кирик|электросети Харьков"
"Как выбрать качественную энергосберегающую лампу","Выбор энергосберегающих ламп – полезные рекомендации от профессионалов.",2d008894f1ea68f8302bd7652abe2f2a.txt,,450,"Освещение;Советы мастеров;Энергосбережение",07f30e9b15c63f13417b51a6c832e0c3.jpg,54,"2012-12-23 00:38:19","Правила выбора энергосберегающих ламп|качественная энергосберегающая лампа"
"Замена ламп накаливания: опыт других стран","Интересный эксперимент в сфере экономии электроэнергии провели в День энергетика россияне. ",22db4857c70109c6b5b085892af7d88e.txt,,391,"Новые технологии",77e0f1786c8a35fa7ae62a32b90e8b1f.jpg,55,"2012-12-24 00:36:39","День энергетика|экономия электроэнергии Харьков|светодиодные лампочки"
"Украинская энергетика оказалась самой неэффективной в Европе","Среди 105 проанализированных стран Украина заняла 72-ю строчку по рейтингу Всемирного экономического форума, разместившись между Ботсваной и Египтом.",bc4a012f25ca85ea6ffe8f3ed50df6c7.txt,,167,"Новости Украины",e25c2ebe842f9245fa031679e011ccd4.jpg,56,"2012-12-25 00:02:41","энергетические системы украины|рейтинг всемирного экономического форума|эффективность энергетических систем"
"Проходной выключатель электрический: как сделать своими руками","Схема включения проходного выключателя: в нем заключена самая что ни на есть энергосберегающая технология вкупе с удобством использования.",34d70cf86936fd8c1dd5d7f54c824a46.txt,,1370,"Советы мастеров;Своими руками",069d20cceb7588fdd3cac8caf9c7970d.jpg,57,"2012-12-25 00:15:16","Схема включения проходного выключателя|монтаж проходного выключателя|проходной выключатель электрический"
"Современные энергосберегающие технологии: в моде светящаяся елка","Современные энергосберегающие технологии: ученые придумали энергосберегающую светящуюся елку",2cdbdda9bcd56e7e826afb07b1104503.txt,,265,Энергосбережение,e7527607a734d3992194fc39d086783d.jpg,58,"2012-12-26 12:36:47","современные энергосберегающие технологии|светящаяся елка"
"С Новым гадом!","Актуальная тема для поздравления энергетиков с Новым годом – это за мир во всем мире, за свет на всем белом свете!",60674f977e81d1629cbe1879971151dd.txt,,477,"Интересные идеи",1b9ff9938896e0a622eea2bf19148542.jpg,59,"2012-12-26 20:45:45","оригинальные поздравление год змеи|поздравление энергетиков новым годом"
"Домашнюю солнечную батарею  заменит энергосберегающая краска","Ученые из американского «Университета Нотр-Дам» в штате Чикаго разработали энергосберегающую краску, способную заменить электрические домашние солнечные бат",bf35c6c09dd0efae1a05a8c48778ce46.txt,,179,"Новые технологии",955446e76d3c9f3b6671185f6419b229.jpg,60,"2012-12-27 12:56:35","Домашняя солнечная батарея|энергосберегающая краска"
"Альтернативная энергетика в Украине","В Одесской области началось строительство четвертой крупной солнечной электростанции",3f051440e865bcd49e8041b309e22d98.txt,,289,"Альтернативная энергетика",51fe3ca551ee053cbd7bfc7ebd28565a.jpg,61,"2012-12-28 12:22:51","солнечная электростанция украина|альтернативная энергетика украина"
"Запрет ламп накаливания в Европе","Лампа накаливания, признанная слишком энергоемкой, с 1 января потеряла право на жизнь в Европе: с Нового года введен запрет на лампы накаливания.",cd8c39a76cf97cba5ae8f88b0c4aa4f5.txt,,263,"Новости мира",94f2e390e973831743316bdf828008ae.jpg,62,"2013-01-02 15:56:05","запрет ламп накаливания|лучшие энергосберегающие лампочки"
"Больше трети украинцев перешли на энергосберегающие лампы","Около 36% украинцев используют для освещения своих квартир исключительно энергосберегающие лампы",033e3479b55122ea6aaa244fe719f671.txt,,204,"Новости Украины",077f63fd0b8482b85ad95a8959ef1241.gif,63,"2013-01-03 12:22:32","энергосберегающие лампы Украина|светодиодные лампы купить"
"Bite Me — лампа, которую можно съесть","Bite Me можно приобрести с четырьмя вкусами — апельсина, вишни, черной смородины и яблока.",0994a63b0b36eaba8b949c70f17cec68.txt,,281,"Новые технологии",a3e3a90e8ab6375f75d375c374637d22.jpg,64,"2013-01-04 12:42:27","Bite Me"
"Сравнительные характеристики энергосберегающих ламп","Энергосберегающие лампы: как правильно выбрать по мощности",67b9c35e34ce98d7baa7e91ae2e32aa2.txt,,780,Освещение;Энергосбережение,c26681ad1abf10540c488f0a2fee6a45.jpeg,65,"2013-01-04 13:24:25","сравнительные характеристики энергосберегающих ламп|выбор мощности ламп"
"Однокристальные светодиоды XM-L2","Cree анонсировала однокристальные светодиоды XM-L2",154990815122fdae903517d7b706d5f0.txt,,333,"Новые технологии",c8b7e82ba510a37752dd04996756875e.jpg,66,"2013-01-08 11:25:32","однокристальные светодиоды|xlamp xm-l"
"«Световые Технологии»: форум в Москве","В канун нового года в столице России прошел ставший уже традиционно ежегодным светодиодный форум, который организовала МГК «Световые Технологии».",aab99c160a04c987716025457064b582.txt,,391,"Новые технологии",0a4bbd62ab45662a8db6625e118e68f0.jpg,67,"2013-01-09 10:34:46","Световые Технологии|светодиодный форум"
"Методы энергосбережения: как сэкономить на освещении ","Немало средств можно высвободить, если рационализировать электрическое освещение. Для этого существует несколько вариантов – как простых, так и более сложны",1f96a8a79114d59cc95115f1d1524bc5.txt,,356,Энергосбережение,adea38d356c436c24c1617fe6b664fcb.jpg,68,"2013-01-09 20:34:36","методы энергосбережения|способы экономии электроэнергии"
"Cabex 2013: выставка в Москве","12–15 марта в Москве, на территории КВЦ «Сокольники» состоится 12-я международная выставка кабелей, проводов и аксессуаров Cabex 2013.",8309cd002359bd8334a00ceeb1cf3621.txt,,368,"Новости мира",0056c151e8b91684655bc062b376f73d.gif,69,"2013-01-10 15:06:57","Cabex 2013|международная выставка кабелей проводов аксессуаров"
"Модные и старомодные электросчетчики: в чью пользу сделать выбор","Энергетические компании настоятельно рекомендуют своим клиентам поменять старые приборы учета электроэнергии на новые – так называемые цифровые счетчики. ",1ea145ff6c2888aa0243abbb7225044c.txt,,430,"Энергосбережение;Советы мастеров",0082dc15a8f12c397cb98fd8a1cf8154.jpg,70,"2013-01-10 19:45:18","индукционные счетчики электроэнергии|электронные счетчики электроэнергии|многотарифные счетчики электроэнергии"
"Shell возьмется за развитие Philips","С 1 января на должность президента сектора «Световые решения» компании Philips на растущих рынках назначен Кристоф Шелл.",dfb6687cea8437669ec2a6063ace365a.txt,,246,"Новости мира;Новые технологии",2721d29ac5e83df7006fa21fa89f87b3.jpg,71,"2013-01-11 10:00:05","Philips «Световые решения»|Кристоф Шелл|рынок светотехники"
"Освещение натяжных потолков","Какое же освещение натяжных потолков лучше использовать? Рассмотрим два вида светильников под натяжные потолки. 
",8ad502f08ee2e8c2e4bdfada1c328c6c.txt,,751,Дизайн;Освещение,a355f6fd804e4d903cac692bca7c31e3.jpeg,72,"2013-01-11 21:49:31","освещение натяжных потолков|светильники под натяжные потолки"
"В Гонконге представлен павильон-фонарь от OSRAM","В солнечном Гонконге, где несколько жарче, чем у нас, накануне нового года прошел праздник середины осени. ",ff6b37478c056b7aa237133dcc8c9ad8.txt,,208,"Новости мира;Новые технологии",b223891abecd56773869720eafb466ee.jpg,73,"2013-01-14 15:49:23","павильон-фонарь OSRAM|Золотая Луна"
"Использование солнечных батарей ","Использование солнечных батарей позволяет преобразовать энергию Солнца в электрическую энергию.",bf315a3acf75eb41aef37011a7caba69.txt,,359,"Энергосбережение;Интересные идеи",3c93f58f483efe41095522b3b3768fee.jpg,74,"2013-01-14 16:27:27","солнечные батареи харьков|использование солнечных батарей"
"Астрономы просят убавить городское освещение","Слишком яркое освещение ночных городов препятствует изучению небесных тел. ",0bcac2f75ee9b67ee5de124aa9b59cca.txt,,153,"Новости мира",86af77a9415c6561e46023f647cbb88d.jpg,75,"2013-01-15 09:37:53","уличное освещение городов"
"Картины Ван Гога тускнеют из-за светодиодных ламп в музеях","Выяснилось, что желтая масляная краска, которую часто использовали художники 19 века, включая Сезанна и Гогена, изменяется под воздействием ультрафиолета.",58a2b9dbc9e4130467afb8d53f1ebd79.txt,,219,"Новости мира",3910cec1b58e1541b3932f765bb5469e.jpg,76,"2013-01-16 13:49:53","картины Ван Гона|влияние светодиодов"
"Классификация электротехнических изделий","В технической документации электротехнических изделий приводят сведения о принадлежности прибора к определенному классу защиты",30184b4bbbe1b8243a3d04b3259c56c3.txt,,323,"Советы мастеров",cfd06ea44f753c737f78bdadc357c9e9.jpg,77,"2013-01-16 19:54:57","Классификация электротехнических изделий|класы защиты|степень защиты"
"Категории компьютерных розеток ","Компьютерные розетки используются для подключения сетевого оборудования (телефонов, компьютеров, факсов, принтеров) к компьютерной сети. ",57b659455aaf9b23c66d85bf8c7d6f9c.txt,,535,"Советы мастеров",025f8424176afdf4dd75294d71971983.gif,78,"2013-01-16 21:31:31","Категории компьютерных розеток|цена компьютерных розеток"
"Силовые розетки ","Силовые розетки используются для подвода питания к различным промышленным устройствам и оборудованию. Их применяют как для однофазной, так и для трёхфазной ",5d537bf02a18a7cd750f77a10d0d11f1.txt,,344,"Советы мастеров",8829315566bad52b2458dabc1a1e4504.jpeg,79,"2013-01-16 21:36:34","Силовые розетки|Купить силовые розетки|цена силовых розеток"
"Розетка телефонная универсальная","Телефонные розетки - это слаботочные розетки, предназначенные для подключения кабеля проводных и беспроводных телефонных аппаратов к телефонной сети.",597bfbdd7e2ae7f1704fa518e22b6fb1.txt,,757,"Советы мастеров",d386f7b250a148af45415c9c4fe269a4.jpeg,80,"2013-01-16 21:42:07","Розетка телефонная универсальная|купить телефонную розетку"
"Зачем нужен стабилизатор напряжения","Почему в сети НЕ 220 вольт, или Зачем нужен стабилизатор напряжения",2ca53d36ecab6bd0e407982a2a5240a5.txt,,382,"Интересные идеи;Советы мастеров",dc90a10d0d5c60f140eaa6f3f8baf3ae.jpg,81,"2013-01-16 22:15:36","работа стабилизатора напряжения|Зачем нужен стабилизатор напряжения"
"В 2013 году 75-ваттные лампы накаливания могут приказать долго жить","Вслед за 100-ваттными лампами накаливания в России планируют изъять из оборота и 75-ваттные. ",15bbd55f82681f2affa8ec15323d4bbb.txt,,183,"Новые технологии",3e4586839382893a6aa290ebfd0b21c3.jpg,82,"2013-01-17 15:34:43","запрет ламп накаливания"
"Типы телевизионных розеток ","Телевизионные розетки используются для подсоединения телевизионного кабеля и функционирования в диапазоне частот 47-860 МГц для TV-R и 10-2400 МГц для TV-R/",218afa02c2314d717814bd2250299b66.txt,,464,"Советы мастеров",1230e8dce7646cb1a271049790031a14.jpg,83,"2013-01-17 18:04:52","Типы телевизионных розеток|Цена телевизионных розеток"
"«Энергоэффективные технологии в строительстве» - выставка в Радмир-Экспохолле (Харьков)","Новый строительный сезон в Харькове начнется энергоэффективной выставкой в Радмир Экспохолле (Харьков)",c566b0da52184b0f39300cca5706c761.txt,,257,Энергосбережение,d01f84da40748342d2ff7262b24cae60.jpg,84,"2013-01-18 16:56:48","Энергоэффективные технологии в строительстве|Радмир Экспохолл выставка Харьков|энергосбережение выставка Харьков"
"В США изобрели гибкие солнечные батареи ","В США изобрели гибкие солнечные батареи - только этикетки с ценниками вешать на них еще рано: разработчики никак цены не сложат своему изобретению.",1923adb4707b172deab4f955e22cba75.txt,,413,"Интересные идеи",8422d088486588a56caade05bc6e611f.jpg,85,"2013-01-18 17:46:05","солнечные батарейки-этикетки|гибкие солнечные батареи|гибкие солнечные панели"
"По соседству с Харьковщиной вовсю используют биотопливо","Строительство биогазовых установок позволяет получать энергию из нетрадиционных источников с использованием биотоплива.",a4db21d11f49ec336199207cb539e88b.txt,,246,"Альтернативная энергетика",ab9f954568c9736e2d4a137f096c9b25.jpg,86,"2013-01-21 00:36:34","строительство биогазовых установок|использование биотоплива"
